date,city,temperature_celsius,relative_humidity_pct,heat_index_celsius
2005-08-30,Gilgit,28.29,59.0,29.77
2005-08-31,Gilgit,29.8,51.9,31.05
2005-09-01,Gilgit,31.66,42.73,32.27
2005-09-02,Gilgit,31.36,46.32,32.48
2005-09-03,Gilgit,31.64,46.28,32.92
2005-09-04,Gilgit,32.519999999999996,39.89,33.02
2005-09-05,Gilgit,33.46,39.62,34.43
2005-09-06,Gilgit,35.14,36.17,36.37
2005-09-07,Gilgit,31.47,63.8,36.95
2005-09-08,Gilgit,29.41,73.33,34.36
2005-09-09,Gilgit,28.86,72.67,32.91
2005-09-10,Gilgit,26.89,74.46,29.03
2005-09-11,Gilgit,25.09,77.86,25.09
2005-09-12,Gilgit,26.52,66.87,26.52
2005-09-13,Gilgit,27.85,60.64,29.3
2005-09-14,Gilgit,28.17,58.95,29.58
2005-09-15,Gilgit,29.48,47.74,30.0
2005-09-16,Gilgit,30.67,39.53,30.43
2005-09-17,Gilgit,28.38,58.45,29.83
2005-09-18,Gilgit,25.42,74.64,25.42
2005-09-19,Gilgit,25.72,63.94,25.72
2005-09-20,Gilgit,27.68,55.99,28.61
2005-09-21,Gilgit,28.6,49.74,29.13
2005-09-22,Gilgit,27.009999999999998,58.44,27.98
2005-09-23,Gilgit,23.43,77.86,23.43
2005-09-24,Gilgit,23.18,76.27,23.18
2005-09-25,Gilgit,22.630000000000003,77.91,22.630000000000003
2005-09-26,Gilgit,22.72,74.03,22.72
2005-09-27,Gilgit,22.439999999999998,70.75,22.439999999999998
2005-09-28,Gilgit,21.43,75.98,21.43
2005-09-29,Gilgit,22.490000000000002,66.43,22.490000000000002
2005-09-30,Gilgit,22.369999999999997,70.65,22.369999999999997
2005-10-01,Gilgit,24.64,56.65,24.64
2005-10-02,Gilgit,25.4,58.99,25.4
2005-10-03,Gilgit,24.35,63.3,24.35
2005-10-04,Gilgit,20.439999999999998,86.36,20.439999999999998
2005-10-05,Gilgit,21.740000000000002,74.24,21.740000000000002
2005-10-06,Gilgit,21.07,60.31,21.07
2005-10-07,Gilgit,22.880000000000003,42.88,22.880000000000003
2005-10-08,Gilgit,24.98,38.93,24.98
2005-10-09,Gilgit,22.67,56.87,22.67
2005-10-10,Gilgit,21.98,56.95,21.98
2005-10-11,Gilgit,19.91,70.52,19.91
2005-10-12,Gilgit,19.07,75.41,19.07
2005-10-13,Gilgit,17.23,84.12,17.23
2005-10-14,Gilgit,16.09,82.23,16.09
2005-10-15,Gilgit,15.19,89.85,15.19
2005-10-16,Gilgit,14.83,82.87,14.83
2005-10-17,Gilgit,10.06,72.27,10.06
2005-10-18,Gilgit,3.92,63.17,3.92
2005-10-19,Gilgit,-0.2400000000000002,35.32,-0.2400000000000002
2005-10-20,Gilgit,3.6500000000000004,19.42,3.6500000000000004
2005-10-21,Gilgit,4.77,17.62,4.77
2005-10-22,Gilgit,5.95,15.85,5.95
2005-10-23,Gilgit,8.09,17.74,8.09
2005-10-24,Gilgit,10.73,27.31,10.73
2005-10-25,Gilgit,12.25,79.16,12.25
2005-10-26,Gilgit,10.55,79.21,10.55
2005-10-27,Gilgit,3.4000000000000004,50.77,3.4000000000000004
2005-10-28,Gilgit,4.52,26.78,4.52
2005-10-29,Gilgit,4.94,26.13,4.94
2005-10-30,Gilgit,3.87,27.72,3.87
2005-10-31,Gilgit,5.43,27.44,5.43
2005-11-01,Gilgit,4.07,36.06,4.07
2005-11-02,Gilgit,3.24,41.22,3.24
2005-11-03,Gilgit,4.89,39.62,4.89
2005-11-04,Gilgit,2.619999999999999,39.61,2.619999999999999
2005-11-05,Gilgit,3.3100000000000005,28.69,3.3100000000000005
2005-11-06,Gilgit,3.6500000000000004,27.24,3.6500000000000004
2005-11-07,Gilgit,6.48,40.77,6.48
2005-11-08,Gilgit,9.39,80.12,9.39
2005-11-09,Gilgit,7.39,67.99,7.39
2005-11-10,Gilgit,8.9,72.73,8.9
2005-11-11,Gilgit,10.15,78.45,10.15
2005-11-12,Gilgit,7.5,75.5,7.5
2005-11-13,Gilgit,4.23,74.28,4.23
2005-11-14,Gilgit,0.5600000000000005,58.47,0.5600000000000005
2005-11-15,Gilgit,-1.1199999999999992,63.58,-1.1199999999999992
2005-11-16,Gilgit,-2.619999999999999,60.96,-2.619999999999999
2005-11-17,Gilgit,-3.9800000000000004,35.19,-3.9800000000000004
